No,S/N,Model,Scanner,Lens,Comment,GROUP,Colomn,Num_in_colomn,Mark,Photometric
1,123072005594,2000D,SMALL,50,,1,,,,1
2,243073004306,2000D,SMALL,50,,2,,,,2
3,193072010770,2000D,SMALL,50,Wrong serial number. Old number is 181072003079,3,,,,3
4,243073011386,2000D,SMALL,50,,4,,,,4
5,243073004307,2000D,SMALL,50,Sticker was moved,5,,,,5
6,193072010682,2000D,SMALL,50,Wrong serial number. Old number is 181072003080,6,,,,6
7,163072076399,2000D,SMALL,18-55,,,,,,
8,363074057366,1100D,BIG,18-55,Was moved from SMALL to BIG 14.07.21,,,,,
9,363074042910,1100D,BIG,18-55,,,15,2,1,
10,173063084696,1100D,BIG,18-55,,,11,2,3,
11,363074044136,1100D,BIG,18-55,,,1,10,,
12,373075034901,2000D,SMALL,18-55,,,,,,
13,383075018210,2000D,SMALL,18-55,,,,,,
75,363074043637,1100D,BIG,18-55,JPG format,,2,1,,
15,383075022136,2000D,SMALL,18-55,,,,,,1
16,193072010683,2000D,SMALL,50,Wrong serial number. Old number is 181072003078,,,,,
17,163063150018,1100D,BIG,18-55,,,4,1,2,
18,383075022133,2000D,SMALL,18-55,,,,,,
19,243073009649,2000D,SMALL,50,,,,,,2
20,243073011384,2000D,SMALL,50,,,,,,5
21,413074011176,1100D,BIG,18-55,,,4,2,2,
22,243073011383,2000D,SMALL,50,,,,,,2
23,243073011387,2000D,SMALL,50,,,,,,1
24,193072010669,2000D,SMALL,50,Wrong serial number. Old number is 181072003121,,,,,5
25,193072010672,2000D,SMALL,50,Wrong serial number. Old number is 181072003124,,,,,
26,163072080039,2000D,SMALL,50,,,,,,1
27,243073011388,2000D,SMALL,50,,,,,,1
28,193072010670,2000D,SMALL,50,Wrong serial number. Old number is 181072003123,,,,,1
29,123072005592,2000D,SMALL,50,,,,,,6
30,243073009652,2000D,SMALL,50,,,,,,2
31,243073009650,2000D,SMALL,50,,,,,,6
32,323074034919,1100D,BIG,50,,,18,9,,
33,243073011371,2000D,SMALL,50,,,,,,2
34,243073011373,2000D,SMALL,50,,,,,,1
35,383075018213,2000D,SMALL,50,,,,,,2
36,163072076400,2000D,SMALL,50,,,,,,5
37,193072010765,2000D,SMALL,50,Wrong serial number. Old number is 181072003128,,,,,6
38,363074043633,1100D,BIG,18-55,,,,,,
39,163072076403,2000D,DEFECT,18-55,Syncronization fail  - sold out 09.11.2021,,,,,
40,373075046503,2000D,SMALL,18-55,,,,,,2
